"","species_code","days","mass_init","mass_rem","fTreatment","fTub","sp_abrev","species","family","gf","gf_old","LAM","DMC","N","C","HC_1","HC_2","CL","LG","wt_type","HC","mRem","mInit","t"
"159","FF",42,3960,3070,"inundated","FF 3","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,8.02943284058124,8.28399930424853,0.115068493150685
"160","FF",84,3960,3320,"inundated","FF 1","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,8.10772006191053,8.28399930424853,0.23013698630137
"161","FF",84,4340,3120,"inundated","FF 2","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,8.04558828080353,8.37562962709445,0.23013698630137
"162","FF",84,3950,3210,"inundated","FF 3","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,8.07402621612406,8.28147085789517,0.23013698630137
"163","FF",168,4280,2910,"inundated","FF 1","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,7.97590836016554,8.36170828857584,0.46027397260274
"164","FF",168,4240,2500,"inundated","FF 2","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,7.82404601085629,8.352318548226,0.46027397260274
"165","FF",168,4210,2690,"inundated","FF 3","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,7.89729647259588,8.34521792667643,0.46027397260274
"166","FF",252,4280,2130,"inundated","FF 1","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,7.66387725870347,8.36170828857584,0.69041095890411
"167","FF",252,4060,1480,"inundated","FF 2","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,7.29979736675816,8.30893825259578,0.69041095890411
"168","FF",252,4090,1570,"inundated","FF 3","C. fascicularis","Carex_fascicularis","Cyperaceae","AT","G",0.0262552308911821,0.133620484348466,-0.0239274173293627,-0.315471651384941,NA,15.8771222193772,0.802496054853428,-0.852626052704573,"mean",-0.215020176833081,7.35883089834235,8.31630024903685,0.69041095890411
